"Data","Ultimo","Apertura","Massimo","Minimo","Var."
"08.08.2017","1,1758","1,1799","1,1824","1,1715","-0,32"
"07.08.2017","1,1796","1,1766","1,1816","1,1765","0,20"
"04.08.2017","1,1772","1,1867","1,1893","1,1727","-0,83"
"03.08.2017","1,1870","1,1854","1,1894","1,1829","0,12"
"02.08.2017","1,1856","1,1800","1,1911","1,1792","0,46"
"01.08.2017","1,1802","1,1840","1,1845","1,1784","-0,34"
"31.07.2017","1,1842","1,1735","1,1847","1,1721","0,77"
"28.07.2017","1,1752","1,1675","1,1765","1,1669","0,64"
"27.07.2017","1,1677","1,1733","1,1777","1,1648","-0,49"
"26.07.2017","1,1734","1,1646","1,1741","1,1611","0,70"
"25.07.2017","1,1652","1,1638","1,1712","1,1629","0,09"
"24.07.2017","1,1642","1,1658","1,1688","1,1624","-0,18"
"21.07.2017","1,1663","1,1632","1,1684","1,1618","0,28"
"20.07.2017","1,1631","1,1511","1,1657","1,1477","1,00"
"19.07.2017","1,1516","1,1552","1,1559","1,1508","-0,34"
"18.07.2017","1,1555","1,1477","1,1585","1,1470","0,66"
"17.07.2017","1,1479","1,1462","1,1487","1,1433","0,09"
"14.07.2017","1,1469","1,1398","1,1473","1,1390","0,61"
"13.07.2017","1,1399","1,1409","1,1459","1,1369","-0,11"
"12.07.2017","1,1412","1,1465","1,1491","1,1390","-0,48"
"11.07.2017","1,1467","1,1397","1,1482","1,1381","0,59"
"10.07.2017","1,1400","1,1390","1,1418","1,1380","-0,01"
"07.07.2017","1,1401","1,1422","1,1440","1,1378","-0,19"
"06.07.2017","1,1423","1,1350","1,1425","1,1328","0,62"
"05.07.2017","1,1353","1,1344","1,1369","1,1311","0,07"
"04.07.2017","1,1345","1,1363","1,1380","1,1335","-0,17"
"03.07.2017","1,1364","1,1418","1,1431","1,1353","-0,54"
"30.06.2017","1,1426","1,1439","1,1448","1,1390","-0,13"
"29.06.2017","1,1441","1,1375","1,1446","1,1372","0,55"
"28.06.2017","1,1378","1,1337","1,1392","1,1290","0,34"
"27.06.2017","1,1339","1,1181","1,1351","1,1176","1,40"
"26.06.2017","1,1182","1,1199","1,1222","1,1170","-0,11"
"23.06.2017","1,1194","1,1150","1,1211","1,1143","0,37"
"22.06.2017","1,1153","1,1165","1,1179","1,1138","-0,13"
"21.06.2017","1,1168","1,1131","1,1171","1,1126","0,30"
"20.06.2017","1,1135","1,1147","1,1165","1,1117","-0,12"
"19.06.2017","1,1148","1,1198","1,1214","1,1141","-0,45"
"16.06.2017","1,1198","1,1142","1,1201","1,1137","0,48"
"15.06.2017","1,1145","1,1217","1,1231","1,1130","-0,65"
"14.06.2017","1,1218","1,1209","1,1296","1,1190","0,02"
"13.06.2017","1,1216","1,1202","1,1225","1,1183","0,12"
"12.06.2017","1,1203","1,1193","1,1235","1,1190","0,06"
"09.06.2017","1,1196","1,1213","1,1240","1,1165","-0,16"
"08.06.2017","1,1214","1,1255","1,1270","1,1193","-0,38"
"07.06.2017","1,1257","1,1275","1,1284","1,1203","-0,19"
"06.06.2017","1,1278","1,1251","1,1285","1,1238","0,20"
"05.06.2017","1,1255","1,1277","1,1285","1,1233","-0,24"
"02.06.2017","1,1282","1,1211","1,1287","1,1203","0,62"
"01.06.2017","1,1213","1,1240","1,1258","1,1201","-0,27"
"31.05.2017","1,1243","1,1184","1,1255","1,1163","0,52"
"30.05.2017","1,1185","1,1163","1,1207","1,1108","0,18"
"29.05.2017","1,1165","1,1177","1,1192","1,1159","-0,16"
"26.05.2017","1,1183","1,1210","1,1235","1,1158","-0,25"
"25.05.2017","1,1211","1,1217","1,1252","1,1192","-0,07"
"24.05.2017","1,1219","1,1182","1,1222","1,1167","0,32"
"23.05.2017","1,1183","1,1235","1,1268","1,1172","-0,49"
"22.05.2017","1,1238","1,1200","1,1265","1,1160","0,28"
"19.05.2017","1,1207","1,1100","1,1214","1,1094","0,94"
"18.05.2017","1,1103","1,1158","1,1173","1,1073","-0,50"
"17.05.2017","1,1159","1,1082","1,1163","1,1078","0,69"
"16.05.2017","1,1082","1,0975","1,1098","1,0971","0,97"
"15.05.2017","1,0975","1,0924","1,0991","1,0920","0,40"
"12.05.2017","1,0931","1,0860","1,0937","1,0854","0,64"
"11.05.2017","1,0861","1,0868","1,0894","1,0838","-0,06"
"10.05.2017","1,0868","1,0872","1,0900","1,0851","-0,06"
"09.05.2017","1,0874","1,0922","1,0935","1,0861","-0,46"
"08.05.2017","1,0924","1,0996","1,1024","1,0915","-0,67"
"05.05.2017","1,0998","1,0988","1,1002","1,0948","0,13"
"04.05.2017","1,0984","1,0884","1,0987","1,0873","0,91"
"03.05.2017","1,0885","1,0927","1,0939","1,0880","-0,41"
"02.05.2017","1,0930","1,0898","1,0936","1,0886","0,28"
"01.05.2017","1,0899","1,0905","1,0924","1,0882","0,02"
"28.04.2017","1,0897","1,0875","1,0949","1,0855","0,22"
"27.04.2017","1,0873","1,0902","1,0933","1,0850","-0,28"
"26.04.2017","1,0903","1,0924","1,0951","1,0855","-0,21"
"25.04.2017","1,0926","1,0867","1,0951","1,0850","0,53"
"24.04.2017","1,0868","1,0889","1,0936","1,0819","1,30"
"21.04.2017","1,0728","1,0717","1,0739","1,0680","0,10"
"20.04.2017","1,0717","1,0708","1,0780","1,0706","0,06"
"19.04.2017","1,0711","1,0728","1,0738","1,0698","-0,21"
"18.04.2017","1,0734","1,0642","1,0737","1,0635","0,86"
"17.04.2017","1,0643","1,0612","1,0674","1,0600","0,29"
"14.04.2017","1,0612","1,0613","1,0633","1,0604","-0,02"
"13.04.2017","1,0614","1,0662","1,0679","1,0607","-0,49"
"12.04.2017","1,0666","1,0604","1,0677","1,0587","0,60"
"11.04.2017","1,0602","1,0594","1,0631","1,0577","0,06"
"10.04.2017","1,0596","1,0590","1,0609","1,0568","0,06"
"07.04.2017","1,0590","1,0642","1,0668","1,0578","-0,51"
"06.04.2017","1,0644","1,0661","1,0687","1,0627","-0,18"
"05.04.2017","1,0663","1,0671","1,0690","1,0632","-0,10"
"04.04.2017","1,0674","1,0667","1,0678","1,0634","0,03"
"03.04.2017","1,0671","1,0658","1,0683","1,0641","0,18"
"31.03.2017","1,0652","1,0672","1,0705","1,0649","-0,22"
"30.03.2017","1,0675","1,0764","1,0772","1,0669","-0,85"
"29.03.2017","1,0767","1,0810","1,0827","1,0738","-0,43"
"28.03.2017","1,0813","1,0863","1,0873","1,0796","-0,48"
"27.03.2017","1,0865","1,0796","1,0905","1,0794","0,61"
"24.03.2017","1,0799","1,0782","1,0820","1,0759","0,15"
"23.03.2017","1,0783","1,0794","1,0807","1,0766","-0,13"
"22.03.2017","1,0797","1,0808","1,0827","1,0774","-0,13"
"21.03.2017","1,0811","1,0737","1,0822","1,0717","0,67"
"20.03.2017","1,0739","1,0738","1,0779","1,0723","0,01"
"17.03.2017","1,0738","1,0763","1,0784","1,0726","-0,26"
"16.03.2017","1,0766","1,0732","1,0772","1,0704","0,29"
"15.03.2017","1,0735","1,0602","1,0742","1,0601","1,24"
"14.03.2017","1,0604","1,0653","1,0664","1,0597","-0,47"
"13.03.2017","1,0654","1,0671","1,0715","1,0649","-0,17"
"10.03.2017","1,0672","1,0574","1,0702","1,0569","0,90"
"09.03.2017","1,0577","1,0539","1,0617","1,0523","0,34"
"08.03.2017","1,0541","1,0564","1,0576","1,0533","-0,24"
"07.03.2017","1,0566","1,0582","1,0603","1,0556","-0,14"
"06.03.2017","1,0581","1,0614","1,0643","1,0572","-0,38"
"05.03.2017","1,0621","1,0610","1,0621","1,0600","-0,02"
"03.03.2017","1,0623","1,0505","1,0626","1,0499","1,10"
"02.03.2017","1,0507","1,0546","1,0552","1,0492","-0,39"
"01.03.2017","1,0548","1,0573","1,0590","1,0513","-0,27"
"28.02.2017","1,0577","1,0585","1,0632","1,0568","-0,10"
"27.02.2017","1,0588","1,0560","1,0633","1,0549","0,33"
"26.02.2017","1,0553","1,0564","1,0565","1,0552","-0,09"
"24.02.2017","1,0563","1,0580","1,0620","1,0554","-0,17"
"23.02.2017","1,0581","1,0555","1,0597","1,0536","0,24"
"22.02.2017","1,0556","1,0533","1,0574","1,0492","0,18"
"21.02.2017","1,0537","1,0609","1,0618","1,0524","-0,73"
"20.02.2017","1,0614","1,0614","1,0637","1,0601","-0,10"
"19.02.2017","1,0625","1,0609","1,0633","1,0606","0,10"
"17.02.2017","1,0614","1,0672","1,0679","1,0602","-0,56"
"16.02.2017","1,0674","1,0598","1,0682","1,0586","0,69"
"15.02.2017","1,0601","1,0574","1,0611","1,0520","0,23"
"14.02.2017","1,0577","1,0596","1,0634","1,0559","-0,20"
"13.02.2017","1,0598","1,0632","1,0658","1,0590","-0,20"
"12.02.2017","1,0619","1,0629","1,0637","1,0617","-0,21"
"10.02.2017","1,0641","1,0655","1,0670","1,0606","-0,14"
"09.02.2017","1,0656","1,0697","1,0711","1,0648","-0,39"
"08.02.2017","1,0698","1,0681","1,0715","1,0638","0,16"
"07.02.2017","1,0681","1,0749","1,0751","1,0653","-0,64"
"06.02.2017","1,0750","1,0780","1,0801","1,0702","-0,31"
"05.02.2017","1,0783","1,0790","1,0793","1,0778","-0,01"
"03.02.2017","1,0784","1,0756","1,0800","1,0711","0,24"
"02.02.2017","1,0758","1,0766","1,0829","1,0752","-0,10"
"01.02.2017","1,0769","1,0796","1,0810","1,0729","-0,27"
"31.01.2017","1,0798","1,0692","1,0814","1,0681","0,96"
"30.01.2017","1,0695","1,0689","1,0742","1,0617","-0,21"
"29.01.2017","1,0718","1,0723","1,0723","1,0708","0,18"
"27.01.2017","1,0699","1,0680","1,0729","1,0656","0,16"
"26.01.2017","1,0682","1,0744","1,0767","1,0655","-0,61"
"25.01.2017","1,0748","1,0730","1,0773","1,0709","0,16"
"24.01.2017","1,0731","1,0762","1,0775","1,0717","-0,32"
"23.01.2017","1,0765","1,0683","1,0773","1,0682","0,49"
"22.01.2017","1,0713","1,0703","1,0717","1,0695","0,09"
"20.01.2017","1,0703","1,0663","1,0713","1,0623","0,37"
"19.01.2017","1,0664","1,0628","1,0677","1,0587","0,31"
"18.01.2017","1,0631","1,0712","1,0716","1,0624","-0,77"
"17.01.2017","1,0714","1,0598","1,0719","1,0593","1,05"
"16.01.2017","1,0603","1,0615","1,0638","1,0577","-0,23"
"15.01.2017","1,0627","1,0615","1,0636","1,0609","-0,16"
"13.01.2017","1,0644","1,0609","1,0674","1,0595","0,29"
"12.01.2017","1,0613","1,0580","1,0687","1,0570","0,29"
"11.01.2017","1,0582","1,0554","1,0624","1,0452","0,27"
"10.01.2017","1,0554","1,0571","1,0628","1,0549","-0,19"
"09.01.2017","1,0574","1,0537","1,0584","1,0508","0,42"
"08.01.2017","1,0530","1,0531","1,0536","1,0526","-0,03"
"06.01.2017","1,0533","1,0603","1,0624","1,0520","-0,70"
"05.01.2017","1,0607","1,0489","1,0619","1,0478","1,13"
"04.01.2017","1,0488","1,0403","1,0501","1,0387","0,79"
"03.01.2017","1,0406","1,0453","1,0492","1,0339","-0,51"
"02.01.2017","1,0459","1,0529","1,0534","1,0446","-0,64"
"01.01.2017","1,0526","1,0520","1,0532","1,0518","0,10"
"30.12.2016","1,0516","1,0489","1,0654","1,0479","0,23"
"29.12.2016","1,0492","1,0416","1,0494","1,0404","0,77"
"28.12.2016","1,0412","1,0454","1,0483","1,0369","-0,43"
"27.12.2016","1,0457","1,0451","1,0465","1,0429","0,01"
"26.12.2016","1,0456","1,0451","1,0473","1,0436","0,02"
"25.12.2016","1,0454","1,0453","1,0461","1,0449","-0,02"
"23.12.2016","1,0456","1,0435","1,0470","1,0424","0,18"
"22.12.2016","1,0437","1,0421","1,0501","1,0419","0,12"
"21.12.2016","1,0425","1,0388","1,0453","1,0380","0,37"
"20.12.2016","1,0387","1,0403","1,0419","1,0350","-0,14"
"19.12.2016","1,0402","1,0442","1,0479","1,0390","-0,43"
"18.12.2016","1,0447","1,0440","1,0457","1,0438","-0,04"
"16.12.2016","1,0451","1,0415","1,0477","1,0398","0,36"
"15.12.2016","1,0414","1,0534","1,0544","1,0364","-1,16"
"14.12.2016","1,0536","1,0625","1,0671","1,0494","-0,86"
"13.12.2016","1,0627","1,0633","1,0668","1,0601","-0,08"
"12.12.2016","1,0635","1,0550","1,0652","1,0523","0,83"
"11.12.2016","1,0547","1,0534","1,0552","1,0533","-0,14"
"09.12.2016","1,0562","1,0615","1,0632","1,0528","-0,50"
"08.12.2016","1,0615","1,0753","1,0873","1,0595","-1,28"
"07.12.2016","1,0753","1,0719","1,0770","1,0707","0,32"
"06.12.2016","1,0719","1,0762","1,0787","1,0696","-0,42"
"05.12.2016","1,0764","1,0672","1,0798","1,0503","1,86"
"04.12.2016","1,0567","1,0629","1,0652","1,0507","-0,99"
"02.12.2016","1,0673","1,0660","1,0692","1,0623","0,10"
"01.12.2016","1,0662","1,0588","1,0670","1,0582","0,70"
"30.11.2016","1,0588","1,0646","1,0669","1,0551","-0,58"
"29.11.2016","1,0650","1,0612","1,0657","1,0562","0,33"
"28.11.2016","1,0615","1,0594","1,0686","1,0561","0,06"
"27.11.2016","1,0609","1,0610","1,0612","1,0595","0,21"
"25.11.2016","1,0587","1,0548","1,0631","1,0535","0,31"
"24.11.2016","1,0554","1,0552","1,0587","1,0515","-0,05"
"23.11.2016","1,0559","1,0626","1,0647","1,0523","-0,63"
"22.11.2016","1,0626","1,0625","1,0660","1,0581","-0,04"
"21.11.2016","1,0630","1,0581","1,0652","1,0576","0,44"
"20.11.2016","1,0583","1,0593","1,0595","1,0579","-0,05"
"18.11.2016","1,0588","1,0622","1,0645","1,0567","-0,36"
"17.11.2016","1,0626","1,0689","1,0746","1,0616","-0,60"
"16.11.2016","1,0690","1,0720","1,0763","1,0663","-0,29"
"15.11.2016","1,0721","1,0734","1,0817","1,0710","-0,15"
"14.11.2016","1,0737","1,0847","1,0852","1,0706","-0,79"
"13.11.2016","1,0823","1,0835","1,0840","1,0819","-0,30"
"11.11.2016","1,0856","1,0891","1,0929","1,0827","-0,34"
"10.11.2016","1,0893","1,0907","1,0958","1,0862","-0,16"
"09.11.2016","1,0910","1,1023","1,1300","1,0902","-1,05"
"08.11.2016","1,1026","1,1039","1,1070","1,1005","-0,13"
"07.11.2016","1,1040","1,1134","1,1139","1,1026","-0,50"
"06.11.2016","1,1095","1,1061","1,1100","1,1061","-0,39"
"04.11.2016","1,1138","1,1102","1,1146","1,1077","0,30"
"03.11.2016","1,1105","1,1096","1,1128","1,1057","0,07"
"02.11.2016","1,1097","1,1053","1,1125","1,1048","0,37"
"01.11.2016","1,1056","1,0979","1,1072","1,0956","0,68"
"31.10.2016","1,0981","1,0984","1,0994","1,0934","-0,02"
"30.10.2016","1,0983","1,0991","1,0991","1,0976","-0,04"
"28.10.2016","1,0987","1,0895","1,0995","1,0889","0,83"
"27.10.2016","1,0897","1,0906","1,0945","1,0881","-0,11"
"26.10.2016","1,0909","1,0887","1,0947","1,0870","0,19"
"25.10.2016","1,0888","1,0880","1,0906","1,0848","0,05"
"24.10.2016","1,0883","1,0876","1,0903","1,0858","0,03"
"23.10.2016","1,0880","1,0882","1,0884","1,0873","-0,04"
"21.10.2016","1,0884","1,0927","1,0933","1,0857","-0,42"
"20.10.2016","1,0930","1,0972","1,1041","1,0914","-0,40"
"19.10.2016","1,0974","1,0979","1,1005","1,0953","-0,05"
"18.10.2016","1,0980","1,0998","1,1029","1,0967","-0,17"
"17.10.2016","1,0999","1,0972","1,1011","1,0962","0,30"
"16.10.2016","1,0966","1,0969","1,0974","1,0966","-0,05"
"14.10.2016","1,0971","1,1054","1,1062","1,0966","-0,78"
"13.10.2016","1,1057","1,1004","1,1058","1,0982","0,45"
"12.10.2016","1,1008","1,1051","1,1072","1,1001","-0,42"
"11.10.2016","1,1054","1,1135","1,1144","1,1046","-0,75"
"10.10.2016","1,1138","1,1195","1,1202","1,1127","-0,51"
"09.10.2016","1,1195","1,1180","1,1204","1,1180","-0,05"
"07.10.2016","1,1201","1,1149","1,1207","1,1101","0,45"
"06.10.2016","1,1151","1,1203","1,1214","1,1137","-0,48"
"05.10.2016","1,1205","1,1202","1,1238","1,1187","0,01"
"04.10.2016","1,1204","1,1208","1,1240","1,1135","-0,06"
"03.10.2016","1,1211","1,1233","1,1245","1,1203","-0,20"
"02.10.2016","1,1233","1,1229","1,1244","1,1228","-0,07"
"30.09.2016","1,1241","1,1222","1,1253","1,1150","0,16"
"29.09.2016","1,1223","1,1215","1,1251","1,1195","0,06"
"28.09.2016","1,1216","1,1212","1,1238","1,1179","0,01"
"27.09.2016","1,1215","1,1251","1,1262","1,1188","-0,35"
"26.09.2016","1,1254","1,1221","1,1279","1,1219","0,14"
"25.09.2016","1,1238","1,1229","1,1241","1,1224","0,11"
"23.09.2016","1,1226","1,1205","1,1244","1,1191","0,17"
"22.09.2016","1,1207","1,1192","1,1258","1,1181","0,16"
"21.09.2016","1,1189","1,1148","1,1200","1,1119","0,30"
"20.09.2016","1,1155","1,1176","1,1216","1,1144","-0,17"
"19.09.2016","1,1174","1,1160","1,1198","1,1146","0,14"
"18.09.2016","1,1158","1,1154","1,1160","1,1153","0,03"
"16.09.2016","1,1155","1,1242","1,1256","1,1145","-0,79"
"15.09.2016","1,1244","1,1246","1,1286","1,1217","-0,05"
"14.09.2016","1,1250","1,1215","1,1274","1,1207","0,27"
"13.09.2016","1,1220","1,1233","1,1262","1,1200","-0,12"
"12.09.2016","1,1234","1,1230","1,1269","1,1209","-0,05"
"11.09.2016","1,1240","1,1237","1,1240","1,1230","0,06"
"09.09.2016","1,1233","1,1259","1,1288","1,1197","-0,25"
"08.09.2016","1,1261","1,1237","1,1329","1,1231","0,20"
"07.09.2016","1,1239","1,1253","1,1271","1,1226","-0,15"
"06.09.2016","1,1256","1,1144","1,1266","1,1137","0,98"
"05.09.2016","1,1147","1,1149","1,1185","1,1137","-0,11"
"04.09.2016","1,1159","1,1159","1,1159","1,1153","0,03"
"02.09.2016","1,1156","1,1194","1,1254","1,1148","-0,38"
"01.09.2016","1,1198","1,1155","1,1207","1,1126","0,36"
"31.08.2016","1,1158","1,1141","1,1167","1,1121","0,13"
"30.08.2016","1,1143","1,1187","1,1198","1,1128","-0,41"
"29.08.2016","1,1189","1,1191","1,1208","1,1156","-0,07"
"28.08.2016","1,1197","1,1181","1,1201","1,1180","-0,01"
"26.08.2016","1,1198","1,1281","1,1343","1,1177","-0,75"
"25.08.2016","1,1283","1,1262","1,1301","1,1254","0,18"
"24.08.2016","1,1263","1,1303","1,1316","1,1242","-0,38"
"23.08.2016","1,1306","1,1318","1,1357","1,1299","-0,11"
"22.08.2016","1,1319","1,1302","1,1334","1,1269","0,19"
"21.08.2016","1,1298","1,1310","1,1322","1,1295","-0,25"
"19.08.2016","1,1326","1,1350","1,1363","1,1302","-0,25"
"18.08.2016","1,1354","1,1291","1,1367","1,1281","0,58"
"17.08.2016","1,1288","1,1276","1,1318","1,1239","0,09"
"16.08.2016","1,1278","1,1180","1,1324","1,1173","0,84"
"15.08.2016","1,1184","1,1161","1,1203","1,1152","0,18"
"14.08.2016","1,1164","1,1169","1,1170","1,1157","0,03"
"12.08.2016","1,1161","1,1136","1,1224","1,1127","0,22"
"11.08.2016","1,1137","1,1173","1,1194","1,1131","-0,36"
"10.08.2016","1,1177","1,1115","1,1193","1,1100","0,52"
"09.08.2016","1,1119","1,1087","1,1124","1,1067","0,23"
"08.08.2016","1,1093","1,1085","1,1107","1,1070","0,05"
"07.08.2016","1,1087","1,1082","1,1094","1,1080","0,02"
"05.08.2016","1,1085","1,1127","1,1162","1,1043","-0,40"
"04.08.2016","1,1130","1,1147","1,1158","1,1112","-0,17"
"03.08.2016","1,1149","1,1222","1,1233","1,1137","-0,69"
"02.08.2016","1,1227","1,1160","1,1236","1,1153","0,58"
"01.08.2016","1,1162","1,1173","1,1186","1,1153","-0,04"
"31.07.2016","1,1167","1,1175","1,1184","1,1166","-0,06"
"29.07.2016","1,1174","1,1075","1,1200","1,1067","0,88"
"28.07.2016","1,1076","1,1056","1,1119","1,1047","0,16"
"27.07.2016","1,1058","1,0982","1,1067","1,0959","0,65"
"26.07.2016","1,0987","1,0995","1,1031","1,0976","-0,06"
"25.07.2016","1,0994","1,0968","1,1002","1,0950","0,23"
"24.07.2016","1,0969","1,0973","1,0977","1,0964","-0,06"
"22.07.2016","1,0976","1,1027","1,1042","1,0951","-0,44"
"21.07.2016","1,1025","1,1011","1,1060","1,0979","0,09"
"20.07.2016","1,1015","1,1018","1,1032","1,0979","-0,06"
"19.07.2016","1,1022","1,1072","1,1086","1,0998","-0,47"
"18.07.2016","1,1074","1,1040","1,1086","1,1035","0,16"
"17.07.2016","1,1056","1,1050","1,1061","1,1045","0,18"
"15.07.2016","1,1036","1,1116","1,1150","1,1021","-0,76"
"14.07.2016","1,1120","1,1087","1,1166","1,1083","0,27"
"13.07.2016","1,1090","1,1059","1,1121","1,1041","0,28"
"12.07.2016","1,1059","1,1056","1,1127","1,1048","0,01"
"11.07.2016","1,1058","1,1050","1,1076","1,1014","0,13"
"10.07.2016","1,1044","1,1050","1,1054","1,1042","-0,10"
"08.07.2016","1,1055","1,1060","1,1115","1,0999","-0,07"
"07.07.2016","1,1063","1,1097","1,1113","1,1049","-0,32"
"06.07.2016","1,1099","1,1074","1,1112","1,1029","0,21"
"05.07.2016","1,1076","1,1153","1,1184","1,1058","-0,72"
"04.07.2016","1,1156","1,1140","1,1166","1,1095","0,25"
"03.07.2016","1,1128","1,1130","1,1138","1,1126","-0,07"
"01.07.2016","1,1136","1,1103","1,1169","1,1069","0,28"
"30.06.2016","1,1105","1,1123","1,1157","1,1022","-0,18"
"29.06.2016","1,1125","1,1063","1,1131","1,1046","0,53"
"28.06.2016","1,1066","1,1024","1,1112","1,1006","0,36"
"27.06.2016","1,1026","1,1068","1,1087","1,0968","-0,13"
"26.06.2016","1,1040","1,1010","1,1075","1,1008","-0,69"
"24.06.2016","1,1117","1,1390","1,1434","1,0909","-2,38"
"23.06.2016","1,1388","1,1294","1,1424","1,1293","0,81"
"22.06.2016","1,1297","1,1240","1,1339","1,1234","0,49"
"21.06.2016","1,1242","1,1310","1,1351","1,1239","-0,64"
"20.06.2016","1,1314","1,1281","1,1386","1,1280","-0,29"
"19.06.2016","1,1347","1,1334","1,1358","1,1308","0,62"
"17.06.2016","1,1277","1,1223","1,1299","1,1218","0,45"
"16.06.2016","1,1226","1,1257","1,1298","1,1129","-0,29"
"15.06.2016","1,1259","1,1203","1,1299","1,1188","0,46"
"14.06.2016","1,1208","1,1291","1,1304","1,1186","-0,74"
"13.06.2016","1,1292","1,1251","1,1304","1,1231","0,47"
"12.06.2016","1,1239","1,1251","1,1254","1,1235","-0,11"
"10.06.2016","1,1251","1,1315","1,1329","1,1243","-0,57"
"09.06.2016","1,1316","1,1397","1,1417","1,1303","-0,68"
"08.06.2016","1,1394","1,1356","1,1412","1,1347","0,32"
"07.06.2016","1,1358","1,1353","1,1382","1,1336","0,03"
"06.06.2016","1,1355","1,1349","1,1396","1,1325","0,04"
"05.06.2016","1,1351","1,1356","1,1372","1,1345","-0,14"
"03.06.2016","1,1367","1,1150","1,1377","1,1134","1,94"
"02.06.2016","1,1151","1,1187","1,1221","1,1140","-0,33"
"01.06.2016","1,1188","1,1130","1,1198","1,1111","0,50"
"31.05.2016","1,1132","1,1135","1,1176","1,1120","-0,13"
"30.05.2016","1,1146","1,1114","1,1148","1,1096","0,34"
"29.05.2016","1,1108","1,1114","1,1115","1,1107","-0,06"
"27.05.2016","1,1115","1,1192","1,1201","1,1106","-0,71"
"26.05.2016","1,1194","1,1152","1,1218","1,1142","0,35"
"25.05.2016","1,1155","1,1139","1,1169","1,1126","0,13"
"24.05.2016","1,1141","1,1218","1,1228","1,1129","-0,70"
"23.05.2016","1,1219","1,1215","1,1246","1,1184","-0,02"
"22.05.2016","1,1221","1,1212","1,1223","1,1212","-0,03"
"20.05.2016","1,1224","1,1202","1,1239","1,1192","0,19"
"19.05.2016","1,1203","1,1215","1,1230","1,1178","-0,12"
"18.05.2016","1,1217","1,1311","1,1327","1,1210","-0,86"
